933306800	20200628	202006	2020	2020.4877	EDU	SCHOOL						EDU			GBR	UNITED KINGDOM	GBR								1	051	051	05	1	3.4	1	1	1	-0.27624309392266	4	Wokingham, Wokingham, United Kingdom	UK	UKQ2	40133	51.4167	-0.833333	-2611964	4	Winnersh, Wokingham, United Kingdom	UK	UKQ2	40096	51.4167	-0.866667	-2611858	4	Winnersh, Wokingham, United Kingdom	UK	UKQ2	40096	51.4167	-0.866667	-2611858	20200705050000	https://www.bracknellnews.co.uk/news/18559788.case-missed-five-stories-across-bracknell/
933306801	20200628	202006	2020	2020.4877	EDU	SCHOOL						EDU			GBR	UNITED KINGDOM	GBR								1	051	051	05	1	3.4	3	1	3	-0.27624309392266	4	Wokingham, Wokingham, United Kingdom	UK	UKQ2	40133	51.4167	-0.833333	-2611964	4	Winnersh, Wokingham, United Kingdom	UK	UKQ2	40096	51.4167	-0.866667	-2611858	4	Wokingham, Wokingham, United Kingdom	UK	UKQ2	40133	51.4167	-0.833333	-2611964	20200705050000	https://www.bracknellnews.co.uk/news/18559788.case-missed-five-stories-across-bracknell/
933306802	20200628	202006	2020	2020.4877	JUD	PROSECUTOR						JUD													0	014	014	01	1	0.0	1	1	1	-8.53374709076804	3	Trenton, Ohio, United States	US	USOH	OH017	39.4809	-84.4577	1061703	0								3	Warren County, Ohio, United States	US	USOH		39.4334	-84.1666	1074094	20200705050000	https://www.daytondailynews.com/news/state--regional/chronic-sex-prison-problem-puts-inmates-guards-public-risk/boZTJ2PsxQRScaNmwL9RfP/
933306803	20200628	202006	2020	2020.4877	JUD	PROSECUTOR						JUD													0	014	014	01	1	0.0	1	1	1	-8.53374709076804	3	Warren County, Ohio, United States	US	USOH	OH165	39.4334	-84.1666	1074094	0								3	Warren County, Ohio, United States	US	USOH		39.4334	-84.1666	1074094	20200705050000	https://www.daytondailynews.com/news/state--regional/chronic-sex-prison-problem-puts-inmates-guards-public-risk/boZTJ2PsxQRScaNmwL9RfP/
933306804	20200628	202006	2020	2020.4877	JUD	PROSECUTOR						JUD													0	014	014	01	1	0.0	3	1	3	-8.53374709076804	2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	0								2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	20200705050000	https://www.daytondailynews.com/news/state--regional/chronic-sex-prison-problem-puts-inmates-guards-public-risk/boZTJ2PsxQRScaNmwL9RfP/
933306805	20200705	202007	2020	2020.5068											AUS	WESTERN AUSTRALIA	AUS								1	042	042	04	1	1.9	5	1	5	0	0								4	Merimbula, New South Wales, Australia	AS	AS02	5372	-36.889	149.91	-1587079	4	Merimbula, New South Wales, Australia	AS	AS02	5372	-36.889	149.91	-1587079	20200705050000	https://www.hampshirechronicle.co.uk/news/18559856.winchester-composer-david-perrys-lockdown-film/
933306806	20200705	202007	2020	2020.5068											AUS	AUSTRALIA	AUS								1	100	100	10	3	-5.0	5	1	5	3.90879478827362	0								1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	20200705050000	https://www.miragenews.com/ships-deploy-to-southeast-asia-and-exercise-rim-of-pacific-in-hawaii/
933306807	20200705	202007	2020	2020.5068											AUTBUS	VIENNA	AUT					BUS			0	043	043	04	1	2.8	1	1	1	-2.32558139534884	0								4	Vienna, Wien, Austria	AU	AU09	5672	48.2	16.3667	-1995499	4	Navotas, Laoag, Philippines	RP	RPD3	24211	18.2313	120.563	-2441752	20200705050000	https://newsinfo.inquirer.net/1302073/search-and-retrieval-ops-for-14-missing-in-occidental-mindoro-continue
933306808	20200705	202007	2020	2020.5068											BUS	INDUSTRY						BUS			1	036	036	03	1	4.0	10	1	10	-0.97222222222222	0								4	Hangzhou, Zhejiang, China	CH	CH02	13319	30.2553	120.169	-1908366	4	Hangzhou, Zhejiang, China	CH	CH02	13319	30.2553	120.169	-1908366	20200705050000	https://galusaustralis.com/2020/07/724822/global-cetyl-trimethyl-ammonium-chloride-market-2020-top-key-players-kao-corporation-basf-kohinoor-group-lonza/
933306809	20200705	202007	2020	2020.5068											BUS	INDUSTRY						BUS			1	036	036	03	1	4.0	8	1	8	-0.72568940493469	0								4	Ningbo, Zhejiang, China	CH	CH02	13327	29.8782	121.549	-1920233	4	Ningbo, Zhejiang, China	CH	CH02	13327	29.8782	121.549	-1920233	20200705050000	https://galusaustralis.com/2020/07/724823/global-electrician-pliers-market-2020-top-key-players-ningbo-great-wall-precision-industrial-co-ltd-ceecorp-phoenix-contact-wuerth-knipex/
