933389744	20200628	202006	2020	2020.4877	JUD	DISTRICT COURT						JUD			USA	UNITED STATES	USA								1	020	020	02	1	3.0	1	1	1	-11.2765957446808	2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	20200705214500	https://www.vindy.com/news/local-news/2020/07/court-orders-another-hearing/
933389745	20200628	202006	2020	2020.4877	JUD	DISTRICT COURT						JUD			USAJUD	UNITED STATES	USA					JUD			1	012	012	01	1	-0.4	1	1	1	-11.2765957446808	3	Mahoning County, Ohio, United States	US	USOH	OH099	41.0334	-80.7665	1074062	3	Mahoning County, Ohio, United States	US	USOH		41.0334	-80.7665	1074062	2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	20200705214500	https://www.vindy.com/news/local-news/2020/07/court-orders-another-hearing/
933389746	20200628	202006	2020	2020.4877	JUD	DISTRICT COURT						JUD			USAJUD	UNITED STATES	USA					JUD			1	020	020	02	1	3.0	1	1	1	-11.2765957446808	2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	20200705214500	https://www.vindy.com/news/local-news/2020/07/court-orders-another-hearing/
933389747	20200628	202006	2020	2020.4877	MAR	MOROCCO	MAR								CVL	TENANTS						CVL			0	040	040	04	1	1.0	4	1	4	-2.25118483412322	1	Morocco	MO	MO		32	-5	MO	1	Morocco	MO	MO		32	-5	MO	1	Morocco	MO	MO		32	-5	MO	20200705214500	https://www.startribune.com/a-humble-defender-of-allina-midtown-market-inspires-hope-on-e-lake-street/571622682/
933389748	20200628	202006	2020	2020.4877	MEXGOV	MEXICO	MEX					GOV			MEX	MEXICO	MEX								0	120	120	12	3	-4.0	1	1	1	-6.62188099808061	1	Mexico	MX	MX		23	-102	MX	1	Mexico	MX	MX		23	-102	MX	1	Mexico	MX	MX		23	-102	MX	20200705214500	https://www.insider.com/some-texas-new-mexico-law-enforcement-wont-enforce-mask-orders-2020-7
933389749	20200628	202006	2020	2020.4877	USA	UNITED STATES	USA								GOV	PRESIDENT						GOV			1	112	112	11	3	-2.0	4	1	4	-2.4896265560166	2	Colorado, United States	US	USCO		39.0646	-105.327	CO	2	Colorado, United States	US	USCO		39.0646	-105.327	CO	2	Colorado, United States	US	USCO		39.0646	-105.327	CO	20200705214500	https://www.canyoncourier.com/opinion/letters?page=8&mini=calendar-date/2016-09
933389750	20200704	202007	2020	2020.5041	CHRCTH	CATHOLIC				CHR	CTH				ITAMED	ITALIAN	ITA					MED			1	010	010	01	1	0.0	10	1	10	-3.03030303030303	1	Hong Kong	HK	HK		22.25	114.166667	HK	1	Hong Kong	HK	HK		22.25	114.166667	HK	1	Hong Kong	HK	HK		22.25	114.166667	HK	20200705214500	https://www.thestandard.com.hk/section-news/section/21/220586/How-to-be-a-correspondent-in-five-steps
933389751	20200705	202007	2020	2020.5068											AUS	AUSTRALIA	AUS								1	112	112	11	3	-2.0	3	1	3	-4.4593088071349	0								4	Barrow Creek, Northern Territory, Australia	AS	AS03	154722	-21.55	133.883	-1557729	4	Barrow Creek, Northern Territory, Australia	AS	AS03	154722	-21.55	133.883	-1557729	20200705214500	https://www.adelaidenow.com.au/news/national/rex-wild-qc-said-joanne-lees-nearly-destroyed-murder-case-against-bradley-john-murdoch/news-story/c06e22cafd8c4f8c4b7c83af87408e07?nk=cb602e770a46fa00966ecef1be0cff2a-1593984704
933389752	20200705	202007	2020	2020.5068											AUS	AUSTRALIA	AUS								0	173	173	17	4	-5.0	4	1	4	-4.4593088071349	0								4	Barrow Creek, Northern Territory, Australia	AS	AS03	154722	-21.55	133.883	-1557729	4	Barrow Creek, Northern Territory, Australia	AS	AS03	154722	-21.55	133.883	-1557729	20200705214500	https://www.adelaidenow.com.au/news/national/rex-wild-qc-said-joanne-lees-nearly-destroyed-murder-case-against-bradley-john-murdoch/news-story/c06e22cafd8c4f8c4b7c83af87408e07?nk=cb602e770a46fa00966ecef1be0cff2a-1593984704
933389753	20200705	202007	2020	2020.5068											AUS	AUSTRALIA	AUS								0	174	174	17	4	-5.0	4	1	4	-4.4593088071349	0								4	Barrow Creek, Northern Territory, Australia	AS	AS03	154722	-21.55	133.883	-1557729	4	Barrow Creek, Northern Territory, Australia	AS	AS03	154722	-21.55	133.883	-1557729	20200705214500	https://www.adelaidenow.com.au/news/national/rex-wild-qc-said-joanne-lees-nearly-destroyed-murder-case-against-bradley-john-murdoch/news-story/c06e22cafd8c4f8c4b7c83af87408e07?nk=cb602e770a46fa00966ecef1be0cff2a-1593984704
